,Date,Oil_Price,NGL_Price,Gas_Price,Oil_Prod,NGL_Prod,Gas_Prod,Oil_Revenue,NGL_Revenue,Gas_Revenue,Oil_Rev_NRI,NGL_Rev_NRI,Gas_Rev_NRI,Total_Revenue,LOE,Ad_Valorem_Tax,Sev_Tax_Oil,Sev_Tax_NGL,Sev_Tax_Gas,D&CCAPEX,Cash Flow,Cumulative Cash Flows,Time
30,2017-02-01,85.02640000000001,31.307499999999997,4.58,3161.8687931989625,307.1009855253006,1592.3754805015585,268842.3207580523,9614.564104333347,7293.079700697138,268842.3207580523,9614.564104333347,7293.079700697138,285749.9645630828,9500,7143.74911407707,13144.498369901808,21431.247342231207,21431.247342231207,0,222599.2223946415,8143246.53721638,30
31,2017-03-01,84.8056,31.216499999999996,4.56,3083.5907186258833,299.49813216114876,1552.953277872623,261505.7610474992,9349.2834426085,7081.46694709916,261505.7610474992,9349.2834426085,7081.46694709916,277936.5114372068,9500,6948.412785930171,12785.079526111513,20845.23835779051,20845.23835779051,0,216512.54240958413,8359759.079625964,31
32,2017-04-01,84.5756,31.128999999999998,4.5,3009.4532153729756,292.2974298076219,1515.6163027061875,254526.3113620986,9098.92669248146,6820.273362177844,254526.3113620986,9098.92669248146,6820.273362177844,270445.5114167579,9500,6761.137785418948,12440.493525170863,20283.413356256842,20283.413356256842,0,210677.05339365438,8570436.133019619,32
33,2017-05-01,84.41,31.066,4.257,2939.1275511417202,285.466926310204,1480.1988771640204,248091.7565918726,8868.315532752797,6301.206620087234,248091.7565918726,8868.315532752797,6301.206620087234,263261.27874471265,9500,6581.531968617816,12110.018822256781,19744.595905853446,19744.595905853446,0,205080.5361421312,8775516.66916175,33
34,2017-06-01,84.26280000000001,31.013499999999997,4.27,2872.31895859433,278.97806266353103,1446.5529175146055,242029.63794424236,8652.086146415419,6176.780957787365,242029.63794424236,8652.086146415419,6176.780957787365,256858.50504844513,9500,6421.462626211129,11815.491232228476,19264.387878633384,19264.387878633384,0,200092.77543273874,8975609.44459449,34
35,2017-07-01,84.14320000000001,30.968,4.3,2808.7627536439536,272.805076068485,1414.544838873626,236338.28613241392,8448.227595688842,6082.542807156592,236338.28613241392,8448.227595688842,6082.542807156592,250869.05653525935,9500,6271.726413381484,11539.97660062193,18815.17924014445,18815.17924014445,0,195426.99504096704,9171036.439635456,35
36,2017-08-01,83.9684,30.9085,4.335,2748.220696351737,266.9248428419549,1384.0547406619883,230763.6947195412,8250.246504980563,5999.877300769719,230763.6947195412,8250.246504980563,5999.877300769719,245013.8185252915,9500,6125.345463132288,11270.63565216341,18376.036389396864,18376.036389396864,0,190865.76463120207,9361902.204266658,36
37,2017-09-01,167.6056,30.863,4.349,2690.4773518238903,261.3164385641691,1354.974125888284,450939.07083885424,8065.009243405952,5892.782473488148,450939.07083885424,8065.009243405952,5892.782473488148,464896.8625557483,9500,11622.42156389371,21385.255677564423,34867.26469168112,34867.26469168112,0,362154.6559309279,9724056.860197585,37
38,2017-10-01,83.7292,30.8315,4.345,2635.3376641430636,255.96091815236147,1327.2047607900224,220654.71434856742,7891.659048014532,5766.704685632647,220654.71434856742,7891.659048014532,5766.704685632647,234313.07808221458,9500,5857.826952055365,10778.40159178187,17573.480856166094,17573.480856166094,0,182529.88782604513,9906586.748023631,38
39,2017-11-01,83.674,30.814,4.371,2582.6245302997218,250.84106451638968,1300.657371566465,216098.52494829893,7729.416562008031,5685.173371117019,216098.52494829893,7729.416562008031,5685.173371117019,229513.11488142397,9500,5737.827872035599,10557.603284545503,17213.483616106798,17213.483616106798,0,178790.7164926293,10085377.46451626,39
40,2017-12-01,83.61880000000001,30.806999999999995,4.453,2532.1768593372476,245.9412628865442,1275.250992745044,211737.59036554946,7576.712485745766,5678.692670693681,211737.59036554946,7576.712485745766,5678.692670693681,224992.9955219889,9500,5624.824888049723,10349.67779401149,16874.474664149166,16874.474664149166,0,175269.54351162937,10260647.008027889,40
41,2018-01-01,83.57279999999999,30.806999999999995,4.631,2483.8473888901785,241.24720234209545,1250.9114195516058,207582.08106224108,7432.102562552934,5792.970783943487,207582.08106224108,7432.102562552934,5792.970783943487,220807.1544087375,9500,5520.178860218438,10157.129102801924,16560.536580655313,16560.536580655313,0,172008.7732844065,10432655.781312296,41
42,2018-02-01,83.4808,30.772,4.771,2437.502199970483,236.74586010226963,1227.5711264562128,203484.6336552959,7285.143607067041,5856.7418443225915,203484.6336552959,7285.143607067041,5856.7418443225915,216626.51910668553,9500,5415.662977667139,9964.819878907534,16246.988933001414,16246.988933001414,0,168752.05838410804,10601407.839696404,42
43,2018-03-01,83.398,30.740499999999997,4.753,2393.0175630783497,232.4252187638196,1205.167800997583,199572.8787256082,7144.867437409196,5728.162558141513,199572.8787256082,7144.867437409196,5728.162558141513,212445.90872115892,9500,5311.147718028973,9772.51180117331,15933.44315408692,15933.44315408692,0,165495.36289378282,10766903.202590186,43
44,2018-04-01,83.3244,30.7125,4.695,2350.280908629635,228.27436055516776,1183.6448325082772,195835.74654301917,7010.876298550589,5557.212488626362,195835.74654301917,7010.876298550589,5557.212488626362,208403.83533019613,9500,5210.095883254904,9586.576425189021,15630.287649764708,15630.287649764708,0,162346.5877222228,10929249.79031241,44
45,2018-05-01,83.26,30.688,4.447,2309.1884008872435,224.2832002830009,1162.949927393338,192263.0262578719,6882.802850284731,5171.638327118174,192263.0262578719,6882.802850284731,5171.638327118174,204317.46743527483,9500,5107.936685881871,9398.603502022643,15323.81005764561,15323.81005764561,0,159163.3071320791,11088413.097444488,45
